sensor_id,timestamp,feature,noise_type,ground_truth_value,noisy_value,noise_magnitude,is_corrupted
S001,2026-06-01 00:00:00,temperature,NORMAL,17.894,17.894,0.0,False
S001,2026-06-01 00:05:00,temperature,NORMAL,17.796,17.796,0.0,False
S001,2026-06-01 00:10:00,temperature,NORMAL,17.7,17.7,0.0,False
S001,2026-06-01 00:15:00,temperature,NORMAL,17.607,17.607,0.0,False
S001,2026-06-01 00:20:00,temperature,NORMAL,17.516,17.516,0.0,False
S001,2026-06-01 00:25:00,temperature,NORMAL,17.428,17.428,0.0,False
S001,2026-06-01 00:30:00,temperature,NORMAL,17.342,17.342,0.0,False
S001,2026-06-01 00:35:00,temperature,NORMAL,17.259,17.259,0.0,False
S001,2026-06-01 00:40:00,temperature,NORMAL,17.178,17.178,0.0,False
S001,2026-06-01 00:45:00,temperature,NORMAL,17.1,17.1,0.0,False
S001,2026-06-01 00:50:00,temperature,NORMAL,17.025,17.025,0.0,False
S001,2026-06-01 00:55:00,temperature,NORMAL,16.952,16.952,0.0,False
S001,2026-06-01 01:00:00,temperature,NORMAL,16.882,16.882,0.0,False
S001,2026-06-01 01:05:00,temperature,NORMAL,16.814,16.814,0.0,False
S001,2026-06-01 01:10:00,temperature,NORMAL,16.75,16.75,0.0,False
S001,2026-06-01 01:15:00,temperature,NORMAL,16.688,16.688,0.0,False
S001,2026-06-01 01:20:00,temperature,NORMAL,16.628,16.628,0.0,False
S001,2026-06-01 01:25:00,temperature,SPIKE,16.572,42.991,26.419,True
S001,2026-06-01 01:30:00,temperature,NORMAL,16.518,16.518,0.0,False
S001,2026-06-01 01:35:00,temperature,NORMAL,16.467,16.467,0.0,False
S001,2026-06-01 01:40:00,temperature,NORMAL,16.419,16.419,0.0,False
S001,2026-06-01 01:45:00,temperature,NORMAL,16.374,16.374,0.0,False
S001,2026-06-01 01:50:00,temperature,NORMAL,16.332,16.332,0.0,False
S001,2026-06-01 01:55:00,temperature,NORMAL,16.292,16.292,0.0,False
S001,2026-06-01 02:00:00,temperature,NORMAL,16.256,16.256,0.0,False
S001,2026-06-01 02:05:00,temperature,NORMAL,16.222,16.222,0.0,False
S001,2026-06-01 02:10:00,temperature,NORMAL,16.191,16.191,0.0,False
S001,2026-06-01 02:15:00,temperature,GAUSSIAN_NOISE,16.163,18.462,2.299,True
S001,2026-06-01 02:20:00,temperature,NORMAL,16.138,16.138,0.0,False
S001,2026-06-01 02:25:00,temperature,NORMAL,16.116,16.116,0.0,False
S001,2026-06-01 02:30:00,temperature,NORMAL,16.097,16.097,0.0,False
S001,2026-06-01 02:35:00,temperature,NORMAL,16.081,16.081,0.0,False
S001,2026-06-01 02:40:00,temperature,MISSING,16.068,,,True
S001,2026-06-01 02:45:00,temperature,NORMAL,16.057,16.057,0.0,False
S001,2026-06-01 02:50:00,temperature,NORMAL,16.05,16.05,0.0,False
S001,2026-06-01 02:55:00,temperature,NORMAL,16.045,16.045,0.0,False
S001,2026-06-01 03:00:00,temperature,NORMAL,16.044,16.044,0.0,False
S001,2026-06-01 03:05:00,temperature,NORMAL,16.045,16.045,0.0,False
S001,2026-06-01 03:10:00,temperature,NORMAL,16.05,16.05,0.0,False
S001,2026-06-01 03:15:00,temperature,NORMAL,16.057,16.057,0.0,False
S001,2026-06-01 03:20:00,temperature,NORMAL,16.068,16.068,0.0,False
S001,2026-06-01 03:25:00,temperature,NORMAL,16.081,16.081,0.0,False
S001,2026-06-01 03:30:00,temperature,NORMAL,16.097,16.097,0.0,False
S001,2026-06-01 03:35:00,temperature,MISSING,16.116,,,True
S001,2026-06-01 03:40:00,temperature,NORMAL,16.138,16.138,0.0,False
S001,2026-06-01 03:45:00,temperature,NORMAL,16.163,16.163,0.0,False
S001,2026-06-01 03:50:00,temperature,NORMAL,16.191,16.191,0.0,False
S001,2026-06-01 03:55:00,temperature,NORMAL,16.222,16.222,0.0,False
S001,2026-06-01 04:00:00,temperature,NORMAL,16.256,16.256,0.0,False
S001,2026-06-01 04:05:00,temperature,NORMAL,16.292,16.292,0.0,False
S001,2026-06-01 04:10:00,temperature,NORMAL,16.332,16.332,0.0,False
S001,2026-06-01 04:15:00,temperature,GAUSSIAN_NOISE,16.374,14.171,-2.203,True
S001,2026-06-01 04:20:00,temperature,MISSING,16.419,,,True
S001,2026-06-01 04:25:00,temperature,NORMAL,16.467,16.467,0.0,False
S001,2026-06-01 04:30:00,temperature,NORMAL,16.518,16.518,0.0,False
S001,2026-06-01 04:35:00,temperature,NORMAL,16.572,16.572,0.0,False
